Date,Open,High,Low,Close,Adj Close,Volume
1/1/20,12202.1504,12222.2002,12165.2998,12182.5,12182.5,304100
1/2/20,12198.5498,12289.9004,12195.25,12282.2002,12282.2002,407700
1/3/20,12261.0996,12265.5996,12191.3496,12226.6504,12226.6504,428800
1/6/20,12170.5996,12179.0996,11974.2002,11993.0498,11993.0498,396500
1/7/20,12079.0996,12152.1504,12005.3496,12052.9502,12052.9502,447800
1/8/20,11939.0996,12044.9502,11929.5996,12025.3496,12025.3496,446000
1/9/20,12153.1504,12224.0498,12132.5498,12215.9004,12215.9004,477500
1/10/20,12271,12311.2002,12213.2002,12256.7998,12256.7998,660600
1/13/20,12296.7002,12337.75,12285.7998,12329.5498,12329.5498,501000
1/14/20,12333.0996,12374.25,12308.7002,12362.2998,12362.2998,616300
1/15/20,12349.4004,12355.1504,12278.75,12343.2998,12343.2998,684400
1/16/20,12347.0996,12389.0498,12315.7998,12355.5,12355.5,395700
1/17/20,12328.4004,12385.4502,12321.4004,12352.3496,12352.3496,502100
1/20/20,12430.5,12430.5,12216.9004,12224.5498,12224.5498,491600
1/21/20,12195.2998,12230.0498,12162.2998,12169.8496,12169.8496,400
1/22/20,12218.3496,12225.0498,12087.9004,12106.9004,12106.9004,500
1/23/20,12123.75,12189,12094.0996,12180.3496,12180.3496,867700
1/24/20,12174.5498,12272.1504,12149.6504,12248.25,12248.25,593200
1/27/20,12197.0996,12216.5996,12107,12119,12119,441200
1/28/20,12148.0996,12163.5498,12024.5,12055.7998,12055.7998,478500
1/29/20,12114.9004,12169.5996,12103.7998,12129.5,12129.5,514400
1/30/20,12147.75,12150.2998,12010.5996,12035.7998,12035.7998,538100
1/31/20,12100.4004,12103.5498,11945.8496,11962.0996,11962.0996,771300
2/3/20,11627.4502,11749.8496,11614.5,11707.9004,11707.9004,669800
2/4/20,11786.25,11986.1504,11783.4004,11979.6504,11979.6504,560400
2/5/20,12005.8496,12098.1504,11953.3496,12089.1504,12089.1504,758000
2/6/20,12120,12160.5996,12084.6504,12137.9502,12137.9502,565100
2/7/20,12151.1504,12154.7002,12073.9502,12098.3496,12098.3496,473500
2/10/20,12102.3496,12103.5498,11990.75,12031.5,12031.5,524700
2/11/20,12108.4004,12172.2998,12099,12107.9004,12107.9004,480000
2/12/20,12151,12231.75,12144.2998,12201.2002,12201.2002,411700
2/13/20,12219.5498,12225.6504,12139.7998,12174.6504,12174.6504,501200
2/14/20,12190.1504,12246.7002,12091.2002,12113.4502,12113.4502,622800
2/17/20,12131.7998,12159.5996,12037,12045.7998,12045.7998,0
2/18/20,12028.25,12030.75,11908.0498,11992.5,11992.5,676900
2/19/20,12090.5996,12134.7002,12042.0996,12125.9004,12125.9004,513600
2/20/20,12119,12152,12071.4502,12080.8496,12080.8496,502600
2/24/20,12012.5498,12012.5498,11813.4004,11829.4004,11829.4004,490800
2/25/20,11877.5,11883.0498,11779.9004,11797.9004,11797.9004,461000
2/26/20,11738.5498,11783.25,11639.5996,11678.5,11678.5,567600
2/27/20,11661.25,11663.8496,11536.7002,11633.2998,11633.2998,608600
2/28/20,11382,11384.7998,11175.0498,11201.75,11201.75,809900
3/2/20,11387.3496,11433,11036.25,11132.75,11132.75,680800
3/3/20,11217.5498,11342.25,11152.5498,11303.2998,11303.2998,696500
3/4/20,11351.3496,11356.5996,11082.1504,11251,11251,797700
3/5/20,11306.0498,11389.5,11244.5996,11269,11269,1352500
3/6/20,10942.6504,11035.0996,10827.4004,10989.4502,10989.4502,1811000
3/9/20,10742.0498,10751.5498,10294.4502,10451.4502,10451.4502,1565500
3/11/20,10334.2998,10545.0996,10334,10458.4004,10458.4004,1218500
3/12/20,10039.9502,10040.75,9508,9590.15039,9590.15039,1343500
3/13/20,9107.59961,10159.4004,8555.15039,9955.2002,9955.2002,1388000
3/16/20,9587.79981,9602.2002,9165.09961,9197.40039,9197.40039,897700
3/17/20,9285.40039,9403.79981,8915.59961,8967.04981,8967.04981,935600
3/18/20,9088.4502,9127.54981,8407.04981,8468.79981,8468.79981,1516600
3/19/20,8063.29981,8575.4502,7832.54981,8263.4502,8263.4502,925700
3/20/20,8284.4502,8883,8178.2002,8745.4502,8745.4502,1071500
3/23/20,7945.7002,8159.25,7583.6001,7610.25,7610.25,653500
3/24/20,7848.29981,8036.9502,7511.1001,7801.04981,7801.04981,738400
3/25/20,7735.1499,8376.75,7714.75,8317.84961,8317.84961,736900
3/26/20,8451,8749.04981,8304.90039,8641.4502,8641.4502,865600
3/27/20,8949.09961,9038.90039,8522.90039,8660.25,8660.25,801500
3/30/20,8385.9502,8576,8244,8281.09961,8281.09961,593300
3/31/20,8529.34961,8678.29981,8358,8597.75,8597.75,712700
4/1/20,8584.09961,8588.09961,8198.34961,8253.79981,8253.79981,506300
4/3/20,8356.54981,8356.54981,8055.79981,8083.79981,8083.79981,697000
4/7/20,8446.29981,8819.40039,8360.9502,8792.2002,8792.2002,814200
4/8/20,8688.90039,9131.7002,8653.90039,8748.75,8748.75,896500
4/9/20,8973.04981,9128.34961,8904.54981,9111.90039,9111.90039,742100
4/13/20,9103.9502,9112.04981,8912.40039,8993.84961,8993.84961,644000
4/15/20,9196.40039,9261.2002,8874.09961,8925.29981,8925.29981,879100
4/16/20,8851.25,9053.75,8821.90039,8992.79981,8992.79981,719400
4/17/20,9323.4502,9324,9091.34961,9266.75,9266.75,684200
4/20/20,9390.2002,9390.84961,9230.79981,9261.84961,9261.84961,726400
4/21/20,9016.9502,9044.40039,8909.40039,8981.4502,8981.4502,655100
4/22/20,9026.75,9209.75,8946.25,9187.29981,9187.29981,734400
4/23/20,9232.34961,9343.59961,9170.15039,9313.90039,9313.90039,666700
4/24/20,9163.90039,9296.90039,9141.29981,9154.40039,9154.40039,659400
4/27/20,9259.7002,9377.09961,9250.34961,9282.29981,9282.29981,512800
4/28/20,9389.79981,9404.40039,9260,9380.90039,9380.90039,614500
4/29/20,9408.59961,9599.84961,9392.34961,9553.34961,9553.34961,653000
4/30/20,9753.5,9889.04981,9731.5,9859.90039,9859.90039,931200
5/4/20,9533.5,9533.5,9266.9502,9293.5,9293.5,687500
5/5/20,9429.40039,9450.90039,9190.75,9205.59961,9205.59961,725200
5/6/20,9226.79981,9346.90039,9116.5,9270.90039,9270.90039,722200
5/7/20,9234.04981,9277.84961,9175.90039,9199.04981,9199.04981,708700
5/8/20,9376.9502,9382.65039,9238.2002,9251.5,9251.5,609100
5/11/20,9348.15039,9439.90039,9219.9502,9239.2002,9239.2002,704600
5/12/20,9168.84961,9240.84961,9043.9502,9196.54981,9196.54981,805500
5/13/20,9584.2002,9584.5,9351.09961,9383.54981,9383.54981,846400
5/14/20,9213.9502,9281.09961,9119.75,9142.75,9142.75,602600
5/15/20,9182.40039,9182.40039,9050,9136.84961,9136.84961,575900
5/18/20,9158.29981,9158.29981,8806.75,8823.25,8823.25,773000
5/19/20,8961.7002,9030.34961,8855.29981,8879.09961,8879.09961,762200
5/20/20,8889.15039,9093.79981,8875.34961,9066.54981,9066.54981,622300
5/21/20,9079.4502,9178.54981,9056.09961,9106.25,9106.25,631500
5/22/20,9067.90039,9149.59961,8968.54981,9039.25,9039.25,675800
5/26/20,9099.75,9161.65039,8996.65039,9029.04981,9029.04981,655000
5/27/20,9082.2002,9334,9004.25,9314.9502,9314.9502,763500
5/28/20,9364.9502,9511.25,9336.5,9490.09961,9490.09961,837900
5/29/20,9422.2002,9598.84961,9376.90039,9580.29981,9580.29981,967000
6/1/20,9726.84961,9931.59961,9706.9502,9826.15039,9826.15039,794200
6/2/20,9880.84961,9995.59961,9824.04981,9979.09961,9979.09961,770200
6/3/20,10108.2998,10176.2002,10035.5498,10061.5498,10061.5498,794700
6/4/20,10054.25,10123.8496,9944.25,10029.0996,10029.0996,775100
6/5/20,10093.7998,10177.7998,10040.75,10142.1504,10142.1504,987100
6/8/20,10326.75,10328.5,10120.25,10167.4502,10167.4502,936500
